estado,code,framework,article,title_en,titulo,obliga_a,prioridad,nota
ya_existe,AI-ACT-ART9,AI_ACT,Art. 9,Risk Management System,Sistema de gestión de riesgos,proveedor,,
ya_existe,AI-ACT-ART10,AI_ACT,Art. 10,Data and Data Governance,Datos y gobernanza de datos,proveedor,,
ya_existe,AI-ACT-ART11,AI_ACT,Art. 11,Technical Documentation,Documentación técnica,proveedor,,
ya_existe,AI-ACT-ART12,AI_ACT,Art. 12,Record-Keeping,Registro de eventos (logs),proveedor,,
ya_existe,AI-ACT-ART13,AI_ACT,Art. 13,Transparency and Provision of Information to Deployers,Transparencia e información al responsable del despliegue,proveedor,,
ya_existe,AI-ACT-ART14,AI_ACT,Art. 14,Human Oversight,Supervisión humana,proveedor y responsable del despliegue,,
ya_existe,AI-ACT-ART15,AI_ACT,Art. 15,"Accuracy, Robustness and Cybersecurity","Exactitud, solidez y ciberseguridad",proveedor,,
ya_existe,AI-ACT-ART16,AI_ACT,Art. 16,Obligations of Providers of High-Risk AI Systems,Obligaciones de los proveedores,proveedor,,"Artículo índice: enumera las demás. No necesita modos propios."
corregir,AI-ACT-ART72,AI_ACT,Art. 72,Post-Market Monitoring by Providers and Post-Market Monitoring Plan,Vigilancia poscomercialización y plan de vigilancia,proveedor,alta,"⚠️ HOY DICE «Evaluación de impacto de derechos fundamentales (FRIA)». Está mal: la FRIA es el Art. 27. Corregir el título."
anadir,AI-ACT-ART4,AI_ACT,Art. 4,AI literacy,Alfabetización en materia de IA,proveedor y responsable del despliegue,alta,"En vigor desde feb-2025 y de las más olvidadas. Obliga a formar al personal."
anadir,AI-ACT-ART5,AI_ACT,Art. 5,Prohibited AI Practices,Prácticas de IA prohibidas,todos,alta,"Un sistema en esta lista no se mitiga: no se despliega."
anadir,AI-ACT-ART6,AI_ACT,Art. 6,Classification Rules for High-Risk AI Systems,Reglas de clasificación de alto riesgo,proveedor,alta,"Fluxion ya tiene pantalla de clasificación y el artículo no está declarado."
anadir,AI-ACT-ART8,AI_ACT,Art. 8,Compliance with the Requirements,Cumplimiento de los requisitos,proveedor,media,"Artículo paraguas de la sección 2."
anadir,AI-ACT-ART17,AI_ACT,Art. 17,Quality Management System,Sistema de gestión de la calidad,proveedor,alta,"★ 34 modos del catálogo lo citan y no está declarado. El hueco más grande."
anadir,AI-ACT-ART18,AI_ACT,Art. 18,Documentation Keeping,Conservación de la documentación,proveedor,alta,"Diez años. Ya condiciona la retención de evidencias en el producto."
anadir,AI-ACT-ART19,AI_ACT,Art. 19,Automatically Generated Logs,Conservación de los registros generados automáticamente,proveedor,alta,"Seis meses mínimo. Relacionado con el Art. 12."
anadir,AI-ACT-ART20,AI_ACT,Art. 20,Corrective Actions and Duty of Information,Medidas correctivas y deber de información,proveedor,alta,
anadir,AI-ACT-ART21,AI_ACT,Art. 21,Cooperation with Competent Authorities,Cooperación con las autoridades competentes,proveedor,media,
anadir,AI-ACT-ART22,AI_ACT,Art. 22,Authorised Representatives of Providers of High-Risk AI Systems,Representantes autorizados,representante autorizado,baja,"Solo si el proveedor está fuera de la UE."
anadir,AI-ACT-ART23,AI_ACT,Art. 23,Obligations of Importers,Obligaciones de los importadores,importador,baja,
anadir,AI-ACT-ART24,AI_ACT,Art. 24,Obligations of Distributors,Obligaciones de los distribuidores,distribuidor,baja,
anadir,AI-ACT-ART25,AI_ACT,Art. 25,Responsibilities Along the AI Value Chain,Responsabilidades a lo largo de la cadena de valor,"proveedor, importador, distribuidor y responsable del despliegue",alta,"6 modos lo citan. Clave cuando se integra un modelo de terceros."
anadir,AI-ACT-ART26,AI_ACT,Art. 26,Obligations of Deployers of High-Risk AI Systems,Obligaciones de los responsables del despliegue,responsable del despliegue,alta,"★ La mayoría de clientes de Fluxion son responsables del despliegue, no proveedores."
anadir,AI-ACT-ART27,AI_ACT,Art. 27,Fundamental Rights Impact Assessment for High-Risk AI Systems,Evaluación de impacto sobre los derechos fundamentales (FRIA),responsable del despliegue,alta,"★ Fluxion ya tiene la plantilla de FRIA y el artículo no está declarado."
anadir,AI-ACT-ART40,AI_ACT,Art. 40,Harmonised Standards and Standardisation Deliverables,Normas armonizadas,proveedor,baja,"Presunción de conformidad."
anadir,AI-ACT-ART43,AI_ACT,Art. 43,Conformity Assessment,Evaluación de la conformidad,proveedor,alta,
anadir,AI-ACT-ART47,AI_ACT,Art. 47,EU Declaration of Conformity,Declaración UE de conformidad,proveedor,alta,"Trámite documental: no genera modos de fallo, pero sí obligación."
anadir,AI-ACT-ART48,AI_ACT,Art. 48,CE Marking,Marcado CE,proveedor,media,
anadir,AI-ACT-ART49,AI_ACT,Art. 49,Registration,Registro en la base de datos de la UE,proveedor,alta,"★ Fluxion ya tiene pantalla de registro europeo y el artículo no está declarado."
anadir,AI-ACT-ART50,AI_ACT,Art. 50,Transparency Obligations for Providers and Deployers of Certain AI Systems,Obligaciones de transparencia de determinados sistemas,proveedor y responsable del despliegue,alta,"Chatbots, contenido sintético, deepfakes. Aplica aunque el sistema no sea de alto riesgo."
anadir,AI-ACT-ART53,AI_ACT,Art. 53,Obligations for Providers of General-Purpose AI Models,Obligaciones de los proveedores de modelos de propósito general,proveedor de MPG,alta,"Capítulo V. Relevante para los modos de IA generativa."
anadir,AI-ACT-ART54,AI_ACT,Art. 54,Authorised Representatives of Providers of General-Purpose AI Models,Representantes autorizados de proveedores de MPG,representante autorizado,baja,
anadir,AI-ACT-ART55,AI_ACT,Art. 55,Obligations for Providers of General-Purpose AI Models with Systemic Risk,Obligaciones de los MPG con riesgo sistémico,proveedor de MPG,media,"Solo modelos por encima del umbral de cómputo."
anadir,AI-ACT-ART73,AI_ACT,Art. 73,Reporting of Serious Incidents,Notificación de incidentes graves,proveedor,alta,"★ Fluxion ya tiene el módulo de incidentes con estos plazos y el artículo no está declarado. 11 modos lo citan."
anadir,AI-ACT-ART86,AI_ACT,Art. 86,Right to Explanation of Individual Decision-Making,Derecho a explicación de decisiones individuales,responsable del despliegue,media,"5 modos lo citan."
anadir,AI-ACT-ART87,AI_ACT,Art. 87,Reporting of Infringements and Protection of Reporting Persons,Denuncia de infracciones y protección del denunciante,todos,baja,"Remite a la Directiva de whistleblowing."
